"","0%","5%","10%","25%","50%","75%","90%","95%","100%","mean","chance_loss","chance_zero","chance_gain"
"y.cashflow_NPV_ndredge_check_buff20","  -5113","    214"," 2.9e+03","   7232","  15329"," 22435"," 29384"," 34427","  71371","  15824","0.0356","0","0.9644"
"y.cashflow_NPV_ndredge_check_buff21","  -5410","    198"," 3.0e+03","   7177","  15402"," 22438"," 29472"," 34132","  73505","  15795","0.0357","0","0.9643"
"y.cashflow_NPV_ndredge_check_buff22","  -2935","    177"," 2.8e+03","   7015","  15467"," 22521"," 29266"," 34018","  74644","  15791","0.0358","0","0.9642"
"y.cashflow_NPV_ndredge_check_buff23","  -3450","    179"," 2.9e+03","   6854","  15389"," 22648"," 29270"," 34040","  79744","  15778","0.0366","0","0.9634"
"y.cashflow_NPV_ndredge_check_buff24","  -3469","    165"," 2.8e+03","   6696","  15601"," 22716"," 29181"," 33549","  68893","  15762","0.0364","0","0.9636"
"y.cashflow_NPV_ndredge_check_buff25","  -3053","    139"," 2.7e+03","   6440","  15549"," 22416"," 29359"," 33553","  69657","  15668","0.0365","0","0.9635"
"y.cashflow_NPV_ndredge_check_buff26","  -4198","    150"," 2.6e+03","   6287","  15675"," 22644"," 29218"," 33668","  72279","  15654","0.0310","0","0.9690"
"y.cashflow_NPV_ndredge_check_buff27","  -2328","    143"," 2.4e+03","   6045","  15679"," 22580"," 29132"," 33622","  75964","  15571","0.0350","0","0.9650"
"y.cashflow_NPV_ndredge_check_buff28","  -2039","    122"," 2.4e+03","   5827","  15578"," 22577"," 29014"," 33309","  68644","  15490","0.0342","0","0.9658"
"y.cashflow_NPV_ndredge_check_buff29","  -2046","    147"," 2.3e+03","   5489","  15539"," 22345"," 28877"," 33229","  73313","  15324","0.0316","0","0.9684"
"y.cashflow_NPV_ndredge_check_buff30","  -2611","    123"," 2.1e+03","   5287","  15627"," 22281"," 28758"," 32853","  65457","  15221","0.0360","0","0.9640"
"y.cashflow_NPV_ndredge_check_nbuff1"," -90888"," -55372","-5.1e+04"," -46516"," -42408","-32422","-19843","-16134","  28298"," -38909","0.9914","0","0.0086"
"y.cashflow_NPV_ndredge_check_nbuff2"," -52666"," -10568","-7.1e+03","   -737","   1314","  4617"," 10830"," 14815","  52592","   1702","0.3720","0","0.6280"
"y.cashflow_NPV_ndredge_check_nbuff3"," -39421","  -9286","-5.9e+03","   -483","   2130","  5514"," 11416"," 15265","  53968","   2510","0.3020","0","0.6980"
"y.cashflow_NPV_ndredge_check_nbuff4"," -49348","  -8175","-5.1e+03","   -128","   2794","  6476"," 12181"," 16205","  42714","   3276","0.2650","0","0.7350"
